ba_name,freq,load_MW,market,timestamp
CAISO,1hr,25793.0,RT5M,2017-10-02 00:45:00+00:00
CAISO,1hr,18855.0,RT5M,2017-10-01 10:50:00+00:00
CAISO,1hr,20520.0,RT5M,2017-10-01 15:50:00+00:00
CAISO,1hr,20746.0,RT5M,2017-10-01 16:50:00+00:00
CAISO,1hr,25029.0,RT5M,2017-10-01 23:50:00+00:00
CAISO,1hr,27666.0,RT5M,2017-10-02 02:50:00+00:00
CAISO,1hr,26477.0,RT5M,2017-10-02 03:50:00+00:00
CAISO,1hr,24037.0,RT5M,2017-10-01 22:50:00+00:00
CAISO,1hr,18873.0,RT5M,2017-10-01 11:50:00+00:00
CAISO,1hr,22515.0,RT5M,2017-10-02 05:50:00+00:00
CAISO,1hr,20873.0,RT5M,2017-10-02 06:50:00+00:00
CAISO,1hr,20617.0,RT5M,2017-10-01 07:50:00+00:00
CAISO,1hr,21872.0,RT5M,2017-10-01 20:50:00+00:00
CAISO,1hr,22910.0,RT5M,2017-10-01 21:50:00+00:00
CAISO,1hr,19908.0,RT5M,2017-10-01 14:50:00+00:00
CAISO,1hr,21186.0,RT5M,2017-10-01 19:50:00+00:00
CAISO,1hr,19158.0,RT5M,2017-10-01 09:50:00+00:00
CAISO,1hr,19608.0,RT5M,2017-10-01 13:50:00+00:00
CAISO,1hr,20500.0,RT5M,2017-10-01 17:50:00+00:00
CAISO,1hr,20726.0,RT5M,2017-10-01 18:50:00+00:00
CAISO,1hr,25825.0,RT5M,2017-10-02 00:50:00+00:00
CAISO,1hr,27143.0,RT5M,2017-10-02 01:50:00+00:00
CAISO,1hr,19211.0,RT5M,2017-10-01 12:50:00+00:00
CAISO,1hr,24460.0,RT5M,2017-10-02 04:50:00+00:00
CAISO,1hr,19748.0,RT5M,2017-10-01 08:50:00+00:00
CAISO,1hr,20764.0,RT5M,2017-10-02 06:55:00+00:00
CAISO,1hr,20758.0,RT5M,2017-10-01 18:55:00+00:00
CAISO,1hr,19633.0,RT5M,2017-10-01 13:55:00+00:00
CAISO,1hr,20503.0,RT5M,2017-10-01 15:55:00+00:00
CAISO,1hr,23012.0,RT5M,2017-10-01 21:55:00+00:00
CAISO,1hr,25877.0,RT5M,2017-10-02 00:55:00+00:00
CAISO,1hr,19293.0,RT5M,2017-10-01 12:55:00+00:00
CAISO,1hr,20015.0,RT5M,2017-10-01 14:55:00+00:00
CAISO,1hr,20803.0,RT5M,2017-10-01 16:55:00+00:00
CAISO,1hr,21956.0,RT5M,2017-10-01 20:55:00+00:00
CAISO,1hr,24119.0,RT5M,2017-10-01 22:55:00+00:00
CAISO,1hr,27289.0,RT5M,2017-10-02 01:55:00+00:00
CAISO,1hr,27606.0,RT5M,2017-10-02 02:55:00+00:00
CAISO,1hr,26268.0,RT5M,2017-10-02 03:55:00+00:00
CAISO,1hr,19712.0,RT5M,2017-10-01 08:55:00+00:00
CAISO,1hr,20479.0,RT5M,2017-10-01 17:55:00+00:00
CAISO,1hr,20533.0,RT5M,2017-10-01 07:55:00+00:00
CAISO,1hr,25145.0,RT5M,2017-10-01 23:55:00+00:00
CAISO,1hr,18858.0,RT5M,2017-10-01 10:55:00+00:00
CAISO,1hr,18909.0,RT5M,2017-10-01 11:55:00+00:00
CAISO,1hr,21232.0,RT5M,2017-10-01 19:55:00+00:00
CAISO,1hr,22365.0,RT5M,2017-10-02 05:55:00+00:00
CAISO,1hr,19115.0,RT5M,2017-10-01 09:55:00+00:00
CAISO,1hr,24274.0,RT5M,2017-10-02 04:55:00+00:00
CAISO,1hr,21116.0,RT5M,2017-10-01 19:35:00+00:00
CAISO,1hr,26828.0,RT5M,2017-10-02 03:35:00+00:00
CAISO,1hr,21195.0,RT5M,2017-10-02 06:35:00+00:00
CAISO,1hr,19906.0,RT5M,2017-10-01 08:35:00+00:00
CAISO,1hr,20601.0,RT5M,2017-10-01 17:35:00+00:00
CAISO,1hr,20654.0,RT5M,2017-10-01 15:35:00+00:00
CAISO,1hr,20827.0,RT5M,2017-10-01 16:35:00+00:00
CAISO,1hr,26618.0,RT5M,2017-10-02 01:35:00+00:00
CAISO,1hr,27938.0,RT5M,2017-10-02 02:35:00+00:00
CAISO,1hr,22607.0,RT5M,2017-10-01 21:35:00+00:00
CAISO,1hr,23755.0,RT5M,2017-10-01 22:35:00+00:00
CAISO,1hr,24952.0,RT5M,2017-10-02 04:35:00+00:00
CAISO,1hr,23011.0,RT5M,2017-10-02 05:35:00+00:00
